function	SRR1397196	SRR1397407	SRR1397265	SRR1397339
K13023	14.0	49.0	60.0	66.0
K13028	18.0	76.0	34.0	86.0
K13037	1.0	5.5	5.0	0.0
K13038	5118.139999999999	11960.169999999998	5589.0199999999995	28791.83
K13039	39.5	108.0	32.0	591.5
K13040	552.7900000000001	926.39	813.4499999999999	2157.96
K13041	444.0	548.67	651.0	896.16
K13043	219.0	3085.5	569.0	1831.5
K13049	80.0	381.5	288.5	795.5
K13051	1254.3400000000001	3972.59	2005.17	9915.75
K13052	85.6	446.7	142.97	739.29
K13053	641.93	3555.08	1070.0	4127.83
K13057	43.0	30.0	15.0	2417.5
K13060	377.5	653.0	469.0	2042.0
K13069	443.94	1250.72	672.4499999999999	682.3
K13075	46.33	271.33	93.0	341.33
K13237	0.0	0.0	21.0	0.0
K13243	0.0	0.25	0.0	2.75
K13244	0.0	0.25	0.0	2.75
K13245	48.0	147.0	318.0	372.0
K13252	32.0	14.0	0.0	1670.0
K13255	1078.0	526.25	1096.0	647.75
K13256	325.6	893.45	484.2	1013.95
K13274	2.0	8.5	6.27	4.09
K13275	46.0	269.5	95.0	335.0
K13276	1.0	13.5	12.0	3.0
K13277	29.0	23.5	12.27	2224.09
K13280	341.0	971.5	361.0	1524.0
K13281	83.0	328.5	117.0	2732.0
K13282	3.0	11.0	81.0	14.0
K13283	695.94	1136.47	1066.95	2825.3
K13288	2267.35	4455.75	2368.0	7737.74
K13292	4668.32	10013.619999999999	4812.219999999999	25683.030000000002
K13300	47.0	293.5	107.27	367.09
K13301	50.0	128.25	56.0	217.75
K13371	5.0	4.0	5.0	7.0
K13378	1214.75	1735.25	1270.25	4002.5
K13380	14.0	238.5	13.5	251.0
K13408	6.0	39.5	41.1	43.5
K13409	6.0	32.0	49.6	37.0
K13421	65.0	26.0	2.0	2919.0
K13472	7.0	15.0	47.0	31.0
K13479	17.0	100.75	9.5	136.25
K13480	0.0	0.25	0.0	2.75
K13481	1940.02	3978.55	2664.95	6881.880000000001
K13482	1941.46	4177.77	2718.3999999999996	6939.43
K13483	1272.88	1154.69	1842.6999999999998	1967.8500000000001
K13485	80.69	502.72	576.4499999999999	1197.8
K13486	65.0	225.5	113.0	199.75
K13487	60.0	221.5	93.0	192.75
K13488	60.0	221.5	108.0	192.75
K13489	60.0	221.5	108.0	192.75
K13490	60.0	221.5	93.0	192.75
K13491	60.0	221.5	93.0	192.75
K13497	50.0	134.25	79.0	272.75
K13498	338.0	604.5799999999999	463.27	1210.84
K13501	1.0	9.0	3.27	16.09
K13503	386.44	402.22	956.4499999999999	609.55
K13522	1094.5	180.0	1119.67	776.0
K13525	263.0	505.5	356.5	978.0
K13527	203.0	217.33	231.0	416.0
K13529	1391.0	656.0	1740.0	1593.5
K13530	49.6	278.2	97.47	367.29
K13531	48.6	288.2	100.2	388.2
K13532	46.0	283.5	104.0	350.0
K13533	3.0	27.5	17.0	32.0
K13540	91.0	203.0	90.0	388.0
K13541	454.5	652.0	995.0	1310.25
K13542	903.6700000000001	1637.5	481.0	4056.5
K13543	7.0	15.0	9.0	27.0
K13570	138.0	211.83	113.5	401.0
K13571	276.0	423.66	227.0	802.0
K13572	95.67	215.5	116.5	519.0
K13573	141.67	212.5	134.5	401.0
K13574	4.44	1.47	6.12	32.3
K13580	55.0	217.5	126.0	199.75
K13581	1077.44	1849.22	1892.05	8243.05
K13582	523.0	1003.5	1340.1	1905.0
K13583	1067.94	1805.72	2011.55	5210.049999999999
K13584	1021.88	2087.94	1920.0	5381.6
K13585	108.0	264.0	179.0	976.0
K13586	116.0	291.0	182.0	1002.0
K13587	1069.44	1801.72	2004.55	5296.049999999999
K13588	1012.44	1823.22	1890.05	5307.049999999999
K13589	703.0	1120.0	1650.6	2403.0
K13590	1726.52	5519.89	2569.65	10139.45
K13591	109.0	159.0	327.0	841.0
K13592	746.94	1309.22	1698.05	2950.55
K13593	205.44	776.22	871.05	1750.5500000000002
K13598	1156.44	2274.2200000000003	2064.05	6290.05
K13599	1161.44	2299.7200000000003	2061.05	6302.05
K13609	12.0	54.5	35.0	65.75
K13611	9.5	5.5	9.0	0.0
K13612	1.0	5.5	5.0	0.0
K13613	1.0	5.5	5.0	0.0
K13614	18.0	5.5	13.0	0.0
K13615	1.0	5.5	5.0	0.0
K13620	50.0	128.25	56.0	217.75
K13622	507.0	450.5	1131.5	738.0
K13623	507.0	450.5	1110.5	738.0
K13626	996.75	2850.17	276.02	3894.25
K13628	3573.81	7095.360000000001	5068.27	15151.34
K13629	50.0	128.25	56.0	217.75
K13630	50.0	128.25	56.0	217.75
K13631	50.0	128.25	56.0	217.75
K13632	50.0	128.25	56.0	217.75
K13633	365.44	204.47	568.4499999999999	362.8
K13634	2052.68	4173.75	2099.0	6575.74
