,0
fd802cba7288ca3810f4c3b626381eec,63.0
2be701b705b64143bb4b7f58d3fbaa25,62.0
0c9718b5a9c1bc30008a53082aed9889,61.0
289026913391d606d21840aa1c78d77f,61.0
caf3f1afe5cc0651b39d582f5f68960f,59.0
9e1fcca3a404f87f18e6fe1682bf69bc,59.0
ae148860154c02bf0d0245e97c5c8473,58.0
7770fea53819e5dc204e6eb30a13af46,58.0
86c8d9749475402467122c7f5141c1db,58.0
cfc65cea6f67c217c805c1d96c3dbd19,58.0
d202f3f42c377ef30a08e6c72f8090a1,58.0
82f009ef84caff01bac82eec6f619176,57.0
f6ce67eb77b40e51f80109a1a743fecb,57.0
7c095768edba13eeac8c1fafa18fbcfe,56.0
3add1feeb790eb3ad6c59865e346d636,55.0
907fca738978d6b0ce7fc8595b07798f,55.0
8643a028deaab8f0bdc2469fb47a0247,55.0
e16f7fd7e622c83cc376ad726f68dd25,54.0
ee28340dad34fe358228d1d91e118f70,54.0
f0858bd6aa6d75df973d468fb8bec30d,54.0
097823e56fa288f40429c9631bdb27e0,53.0
5fb866d5cdfbe6aa3ab2a067312438c9,52.0
8f5e178375ddbcd17f406873140ca1b7,52.0
d2b4ccf4cb124ff8c473511c8f712cc6,52.0
631e89c23e2e2b7725ffb94b2f27233e,51.0
8f034b24dd96c360e58bb8ff942aee42,51.0
29d07b58f5c369356a1c18317c3b317f,50.0
4e50f3480353acc8463bfc2b7e7e2d11,50.0
411a330dfbe140f022b4acfc3a45b37a,49.0
74e8e2188691b3e3af52b8f79914f837,49.0
23d8a9c96cf7b2867efc2c46a1291e9f,49.0
380e6bf6847f6cd362dff4f77a3983dc,49.0
8324eb4bceaa775a762fd0a024e34328,49.0
b07367334e637e1878894e8b304f9fab,48.0
34c5f77f2c8b12f44b8cb0ea63e6e5ae,47.0
d9302552eedc87886b2554174c9b2476,47.0
328a370bf948472731cb40e5d482c9d4,46.0
24f32f0912d396525423f217c496c740,46.0
68114949fdb3f2e62384b75936078544,46.0
0cfdec8692b8eb236d774d3a7ccdb5c1,44.0
c01be17ad4712a20bffeae01808d67df,44.0
06eaddff5aa203d00518234723d5cc5d,44.0
bd6231ba22c7ff4cf5fd88624dd3c64b,43.0
e8c275df8fd9d2c88cf1999678a72898,43.0
279ea5da70bccf3b75ca9bfef7998814,43.0
2b820acc210d927a368a0596332e5c9c,43.0
d89ab8153aeb97f9664bbb26de05b9f0,42.0
61281c43150bcaf733a7192d91f8c40c,42.0
4d18fad730e136cbd0c924cd095d5a76,41.0
18548465712a0e987ab97d0f1b511330,41.0
ae4ad93b705f3e9283361aa68849f92c,41.0
613aad79c97a4ca0e4ffd89fe3f03245,40.0
ea3e94d3ae470ecfc72b50c5b124ef0d,40.0
49e09c01352ebaf147713274ca2ab365,39.0
ba460f17f37baee85f736da984f8a9f8,39.0
df3b2b5c4ff1a4646444a9c2b86eac4c,39.0
0ddf43abed29496e81390c00ee35730c,38.0
1faffb0c8114e655007d7b109ee78915,38.0
0be5f720106fa594a1aedf4336d39dd3,38.0
a26801ba2fc72d4e79b91df04ab543d2,38.0
64e9ce61bf17e55910b3227d3fb12d40,38.0
2ae35e0d806cb21da5ecb276e74be59d,38.0
bc07f6766b6190601770a49a717ce421,38.0
e207c8c557cf639b5acd9aa14e9b51e8,36.0
ceec5d1d81c135208c734b9732d1ced1,36.0
2199b7c8c08b428479de6585975c25a1,35.0
7622e3969bbc9a0a5404bd59291408bc,35.0
ff1418dac511e3e49187e5dc85b0af75,35.0
f8d00b66ce129afbc9b1271f4585639c,34.0
c3641ff45da9559ff290fce121ea9ada,34.0
614c949082dd78537449145ee31bb268,34.0
a411635af04c5f118e70b3f80f1f417c,34.0
484f2d9f9f3bae048cf8aa4b7e5917c0,33.0
ded266a756e1428889fa925347561ce3,33.0
daaca124a3369feb25ef61a10640df1f,32.0
40bb1c6f96ec273d3b8affa0b92500be,32.0
7df2ddfac38fb9784064f41fdfc98802,31.0
02643b76589ec05fd3f5e2896a863b06,30.0
561da405ff45f64ae62c0ef077a2d86e,30.0
d5802a9d870b97a484977d66f71f0578,30.0
2837e26f013fbca6cc365a295b74d5a5,30.0
7605a095c90db66c842a7ee16086375d,30.0
43d158bc6645ef507195253e7e095619,29.0
fb22ef9343a613efd4c123635cab34ba,29.0
683c4734600146292236955759e0ef4b,29.0
603231f99d023014136f223f7dbec864,29.0
140c03e2f10c988b616e24e1fc56b5af,29.0
681d621e1a9acadefb4dd394402f34d6,29.0
cdd773a195487582246453ba54f42e26,29.0
69c7862d8c1849fa5ef062bc2876b95b,29.0
1399367a11bf1ce9ffce4849fbd99bd5,29.0
782e3fc1e9da4486e086a44d96d3b643,29.0
4cd72e12de08e043128b8df30f488fa5,28.0
f0826e14d7a27c4c1dffa26509748a55,28.0
