function	SRR1397196	SRR1397265	SRR1397339	SRR1397407
3.1.21.7-RXN	1345.0	1347.1	4851.25	1576.25
3.1.22.4-RXN	4975.54	5329.549999999999	31193.29	13270.55
3.1.26.11-RXN	942.35	1706.97	16648.54	7662.2
3.1.26.12-RXN	3486.73	4532.5	13765.34	7164.1900000000005
3.1.26.3-RXN	5033.639999999999	5470.52	31706.83	13700.169999999998
3.1.26.4-RXN	10154.38	11156.009999999998	64197.95	27746.71
3.1.26.5-RXN	4939.639999999999	5346.77	31594.08	12039.67
3.1.26.8-RXN	85.6	146.47	673.79	565.2
3.1.27.1-RXN	1079.44	2174.05	3598.3	1702.72
3.1.27.3-RXN	181.17	182.0	767.66	45.34
3.1.27.6-RXN	993.0	946.0	356.75	216.25
3.1.3.16-RXN	4418.53	4663.92	31087.58	9116.59
3.1.3.70-RXN	1064.0	1084.5	1634.25	683.25
3.1.3.77-RXN	506.0	839.0	3231.25	2155.0
3.1.30.1-RXN	8.0	110.0	220.0	26.5
3.1.31.1-RXN	186.6	231.2	3920.2	2641.03
3.1.4.10-RXN	45.0	90.0	335.0	264.0
3.1.4.14-RXN	50.0	56.0	221.25	145.25
3.1.4.17-RXN	20.45	66.5	956.25	276.0
3.11.1.2-RXN	1.5	0.0	22.5	0.0
3.2.1.1-RXN	1048.6799999999998	1609.31	10481.2	7752.77
3.2.1.10-RXN	73.0	142.27	537.09	394.0
3.2.1.113-RXN	14.0	70.0	66.0	49.0
3.2.1.132-RXN	1.0	5.0	0.0	5.5
3.2.1.139-RXN	291.5	705.0	519.0	403.5
3.2.1.14-RXN	207.5	372.0	1365.0	1253.5
3.2.1.141-RXN	251.37	388.55	942.88	1580.05
3.2.1.156-RXN	1.5	0.0	3.5	2.5
3.2.1.165-RXN	7.0	29.0	61.5	190.5
3.2.1.17-RXN	394.38	812.5	1815.1	1292.94
3.2.1.18-RXN	200.01	526.0	1753.0	3078.51
3.2.1.21-RXN	3248.86	6333.14	31875.33	19952.83
3.2.1.23-RXN	1664.94	3247.7	18879.7	21751.54
3.2.1.24-RXN	105.34	79.0	3051.5	225.34
3.2.1.25-RXN	662.61	1484.45	5100.55	3302.89
3.2.1.3-RXN	106.0	211.0	401.0	277.0
3.2.1.35-RXN	42.0	24.0	2344.5	63.0
3.2.1.37-RXN	76.0	578.5	381.5	413.0
3.2.1.40-RXN	349.0	618.0	4908.5	5885.5
3.2.1.50-RXN	10.0	24.0	73.0	76.0
3.2.1.52-RXN	5413.379999999999	7565.82	34832.130000000005	20024.31
3.2.1.55-RXN	964.17	1946.77	9455.09	5888.67
3.2.1.58-RXN	56.6	139.5	1795.5	928.5
3.2.1.64-RXN	139.0	71.0	15.0	11.5
3.2.1.65-RXN	92.0	49.0	195.0	12.0
3.2.1.68-RXN	9.0	20.0	706.0	16.0
3.2.1.70-RXN	1.6	3.2	12.2	4.2
3.2.1.78-RXN	121.5	446.0	2166.0	4582.5
3.2.1.8-RXN	380.44	1117.45	2481.55	3180.2200000000003
3.2.1.80-RXN	269.0	604.0	1843.0	3251.5
3.2.1.89-RXN	89.0	194.0	905.0	2268.0
3.2.1.96-RXN	2.0	6.27	4.09	8.5
3.2.1.99-RXN	414.0	852.04	1961.18	3236.0
3.2.2.21-RXN	4189.39	5279.49	20908.92	8513.67
3.2.2.23-RXN	4828.06	4922.02	28115.58	7899.669999999999
3.2.2.24-RXN	114.69	104.55	3051.96	580.39
3.3.2.8-RXN	153.0	164.0	763.0	437.0
3.3.2.9-RXN	57.0	219.0	626.0	242.0
3.4.11.1-RXN	6023.48	8207.369999999999	31937.68	15567.19
3.4.11.10-RXN	49.0	115.0	431.0	332.5
3.4.11.14-RXN	24.0	63.0	363.0	160.0
3.4.11.18-RXN	6248.75	7333.339999999999	35807.130000000005	16104.56
3.4.11.19-RXN	1093.0	1935.67	4884.25	1502.0
3.4.11.2-RXN	3834.96	5379.299999999999	15932.04	7507.969999999999
3.4.11.21-RXN	1310.0	1392.25	4122.49	3335.0
3.4.11.4-RXN	905.2	1356.94	9275.83	4645.15
3.4.11.5-RXN	2510.79	3910.95	14905.54	6625.89
3.4.11.6-RXN	46.0	103.0	384.0	294.5
3.4.11.7-RXN	1.6	3.2	14.2	17.2
3.4.11.9-RXN	5602.639999999999	6081.02	37259.83	16971.84
3.4.13.19-RXN	3043.5	4806.5	11729.25	5610.0
3.4.13.21-RXN	636.0	1148.27	6022.34	3727.75
3.4.13.22-RXN	1749.94	2244.05	4579.3	3359.9700000000003
3.4.13.9-RXN	3254.6	4549.47	11024.79	5253.45
3.4.14.11-RXN	45.0	90.0	335.0	264.0
3.4.14.4-RXN	76.0	175.0	3777.5	1094.5
3.4.14.5-RXN	1072.0	2097.5	11869.0	7421.5
3.4.15.1-RXN	315.0	762.0	1209.5	544.0
3.4.15.5-RXN	2074.5	3815.6	12083.75	8884.58
3.4.15.6-RXN	3.0	81.0	14.0	11.0
3.4.16.4-RXN	11141.68	13792.78	46327.990000000005	23498.0
3.4.17.11-RXN	1145.0	1963.92	5219.5	3169.75
3.4.17.13-RXN	720.5	1230.0	9904.75	3667.25
3.4.17.19-RXN	1018.04	832.52	9298.84	1816.42
3.4.17.21-RXN	147.0	351.0	384.0	279.0
3.4.19.11-RXN	4.0	35.0	73.0	61.0
3.4.19.5-RXN	1254.34	2005.17	9915.75	3972.59
3.4.21.102-RXN	7415.68	8957.92	49397.01	24174.44
3.4.21.105-RXN	148.1	91.97	3876.45	431.87
3.4.21.107-RXN	5697.39	6502.49	29364.98	12802.5
3.4.21.116-RXN	80.5	148.5	688.0	550.0
3.4.21.19-RXN	1.0	5.0	0.0	5.5
3.4.21.26-RXN	1305.0	1725.5	8029.5	3995.5
3.4.21.53-RXN	6573.2	7028.82	42463.87	16863.97
3.4.21.62-RXN	31.0	14.27	2243.09	32.5
3.4.21.66-RXN	45.0	90.0	335.0	264.0
3.4.21.83-RXN	2582.33	4101.6	8548.33	5860.91
3.4.21.87-RXN	0.0	0.0	2.75	0.25
3.4.21.88-RXN	5296.889999999999	5636.52	25644.58	8133.17
3.4.21.89-RXN	5589.34	6518.42	34432.23	15706.4
3.4.21.92-RXN	5822.25	7049.469999999999	35987.880000000005	15571.39
3.4.21.96-RXN	4.67	17.27	18.09	16.67
3.4.22.40-RXN	214.6	470.2	9204.2	7387.86
3.4.23.36-RXN	5509.58	6339.799999999999	33598.630000000005	14926.39
3.4.23.43-RXN	5274.57	5551.52	29855.83	13020.75
3.4.24.11-RXN	76.0	76.0	378.0	196.0
3.4.24.15-RXN	25.0	78.0	40.0	47.0
3.4.24.20-RXN	136.0	197.0	127.0	67.0
3.4.24.25-RXN	0.0	0.0	1.5	6.0
3.4.24.27-RXN	91.0	181.27	674.09	531.0
3.4.24.28-RXN	1.0	5.0	0.0	5.5
3.4.24.3-RXN	492.0	792.0	1530.0	1130.0
3.4.24.32-RXN	7747.13	9702.76	44430.55	23829.39
3.4.24.40-RXN	248.38	456.5	1035.6	211.44
3.4.24.55-RXN	50.0	59.5	246.25	143.75
3.4.24.56-RXN	9.0	20.0	706.0	16.0
3.4.24.70-RXN	2274.43	2408.0	7199.99	6332.25
3.4.24.71-RXN	858.0	1211.0	2020.5	1013.0
3.4.24.83-RXN	45.0	90.0	335.0	264.0
3.4.25.1-RXN	135.34	130.0	462.0	329.34000000000003
3.5.1.26-RXN	272.5	634.0	1686.0	2464.5
3.5.1.27-RXN	7142.530000000001	7999.269999999999	42837.490000000005	17222.09
3.5.1.77-RXN	297.0	456.5	92.0	291.5
3.5.1.80-RXN	1505.8100000000002	2455.2200000000003	10510.04	5256.450000000001
3.5.1.81-RXN	234.44	412.95	816.05	454.22
3.5.1.82-RXN	38.0	41.0	103.0	87.0
3.5.1.86-RXN	5.0	17.0	7.0	4.0
3.5.1.87-RXN	2519.88	3269.5	8929.18	4487.27
3.5.1.88-RXN	7142.530000000001	7999.269999999999	42837.490000000005	17222.09
3.5.1.97-RXN	682.3299999999999	1178.5	1599.58	2017.33
3.5.2.12-RXN	24.0	34.0	359.0	160.0
3.5.2.14-RXN	1565.0800000000002	2938.9	9380.1	4984.4400000000005
